source,date_published,title,content,url,topic,sentiment
ABC News,2024-10-29,Trump hits Harris ahead of her 'closing argument' speech at the Ellipse,"Former President Donald Trump, speaking to reporters at Mar-a-Lago in Florida on Tuesday, swiped at Vice President Kamala Harris ahead of her speech at the Ellipse in Washington, D.C., where she will… [+1739 chars]",https://abcnews.go.com/Politics/trump-hits-harris-ahead-closing-argument-speech-ellipse/story?id=115256721,PERS,Negative
Yahoo Entertainment,2024-11-19,Trump: ‘No more Judges confirmed before Inauguration Day!’,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_35502851-bb96-4853-ad2d-0a68b10ea208,PERS,Negative
Business Insider,2024-11-06,"What mattered more to Trump: Musk's money, or Musk's platform?","Elon Musk's support for Trump helped land him an onstage appearance at last month's Madison Square Garden rally.Jabin Botsford/The Washington Post via Getty Images
<ul><li>Elon Musk's Twitter purcha… [+3160 chars]",https://www.businessinsider.com/elon-musk-twitter-donald-trump-wealth-campaign-influence-2024-11,PERS,Negative
Stereogum,2024-10-28,"Bruce Springsteen Disputes That He’s A Billionaire, Says Donald Trump Is “Mentally Ill”","Bruce Springsteen wants to set the record straight. A few months ago, Forbes estimated that the Boss has a net worth of $1.1 billion. In a new interview with the Telegraph, he said that’s not true.
… [+1560 chars]",https://www.stereogum.com/2285708/bruce-springsteen-disputes-that-hes-a-billionaire-says-donald-trump-is-mentally-ill/news/,PERS,Negative
Daily Beast,2024-11-03,New York Times Editorial Board Rips Apart Donald Trump in Single Paragraph,"The editorial board of The New York Times just eviscerated Donald Trump in a single paragraph.
The piece, published on Saturday, was only the Times latest attack on the former president during the r… [+2728 chars]",https://www.thedailybeast.com/new-york-times-editorial-board-rips-apart-donald-trump-in-single-paragraph/,PERS,Negative
IndieWire,2024-11-20,Sebastian Stan’s Variety ‘Actors on Actors’ Halted Because No Other Talent Wants to Talk About Trump,Sebastian Stan said in a post-screening Q&amp;A of his film“The Apprentice” Tuesday night that his participation in Variety‘s “Actors on Actors” video and TV series is halted because no other actor w… [+2752 chars],https://www.indiewire.com/news/breaking-news/sebastian-stan-variety-actors-on-actors-nobody-wants-talk-trump-1235067781/,PERS,Negative
Biztoc.com,2024-11-22,Judge postpones sentencing in Trump hush money case,"The judge overseeing the New York hush money case against President-elect Trump has postponed sentencing to allow for arguments over whether the case should be dismissed.
This story appeared on msnb… [+26 chars]",https://biztoc.com/x/e5b488963e40aeb7,PERS,Negative
TMZ,2024-10-30,Donald Trump Fires Back at President Biden Over 'Garbage' Supporters Comment,"Donald Trump didn't waste any time responding to President Biden calling his supporters ""garbage"" ... joking that Biden's so old he doesn't even know what he said.
Trump was on stage Tuesday at a ra… [+1476 chars]",https://www.tmz.com/2024/10/30/donald-trump-reacts-biden-garbage-supporters-comment-tuesday/,PERS,Positive
Business Insider,2024-11-19,Photos show Donald Trump and Elon Musk's post-election bromance,"President-elect Donald Trump and Tesla CEO Elon Musk have been nearly inseparable since the election, going to social and political events together.Chris Unger/Zuffa LLC
<ul><li>In the two weeks sin… [+3811 chars]",https://www.businessinsider.com/elon-musk-donald-trump-photos-bromance-doge-2024-11,PERS,Negative
TMZ,2024-11-17,"Donald Trump Attends UFC 309 W/ Elon Musk, RFK Jr., Gets Massive Ovation!","Donald Trump, Elon Musk, and RFK Jr. walk into an arena ...
No punch line here -- just punches -- as the President-elect returned to the site of his pre-election rally, and brought some famous buddi… [+994 chars]",https://www.tmz.com/2024/11/16/donald-trump-attends-ufc-309-elon-musk-rfk/,PERS,Neutral
ABC News,2024-11-19,Can he do that? How Trump could try to break the federal government,"President Donald Trump's picks to lead the next administration are talking about abolishing entire agencies and firing tens of thousands of federal workers at a time.
But can he and they actually do… [+6517 chars]",https://abcnews.go.com/Politics/trump-break-federal-government/story?id=115976703,PERS,Negative
ABC News,2024-11-11,Donald Trump and Elon Musk golf at Trump International after election win,"President-elect Donald Trump appeared to play golf on Sunday at Trump International Golf Club in West Palm Beach, Florida, according to social media posts.
Trump was accompanied by his granddaughter… [+1228 chars]",https://abcnews.go.com/Politics/donald-trump-elon-musk-golf-trump-international-after/story?id=115718084,PERS,Negative
Gizmodo.com,2024-11-20,Conspiracy Theorists Think Donald Trump Used a Body Double During SpaceX Launch,Conspiracy theorists spent just about every minute of Joe Biden’s presidency insisting he was either a clone or a body double during public appearances. And it looks like that absurd idea is not goin… [+4838 chars],https://gizmodo.com/conspiracy-theorists-think-donald-trump-used-a-body-double-during-spacex-launch-2000527177,PERS,Negative
Variety,2024-11-22,"Stephen Colbert Celebrates After Matt Gaetz’s Trump Cabinet Withdrawl: ‘Thank You, Sweet Turkey Jesus!’","Matt Gaetz is out as Donald Trump’s nominee for attorney general, and late night reacted with glee. That included the Thursday audience at “The Late Show with Stephen Colbert,” which provided thunder… [+1956 chars]",https://variety.com/2024/tv/news/stephen-colbert-matt-gaetz-trump-withdrawl-1236217521/,PERS,Negative
